sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
1073,Ron LeFlore,RIGHT,72,200,0.288,59,0.36,0,HEAVY
1074,Bill Russell,RIGHT,72,175,0.263,46,0.411428571,1,MODERATE
1075,Gene Tenace,RIGHT,72,190,0.241,201,0.378947368,0,HEAVY
1076,Bubba Morton,RIGHT,70,175,0.267,14,0.4,1,MODERATE
1077,Ellie Rodriguez,RIGHT,71,185,0.245,16,0.383783784,1,MODERATE
1078,Darrel Chaney,BOTH,74,188,0.217,14,0.393617021,1,MODERATE
1079,Dick Nen,LEFT,74,200,0.224,21,0.37,0,HEAVY
1080,Bryan Kelly,RIGHT,74,195,0,0,0.379487179,1,MODERATE
1081,Bill Freehan,RIGHT,75,203,0.262,200,0.369458128,0,HEAVY
1082,Steve Nicosia,RIGHT,70,185,0.248,11,0.378378378,0,HEAVY
1083,Ted Savage,RIGHT,73,185,0.233,34,0.394594595,1,MODERATE
1084,Pete Mackanin,RIGHT,74,190,0.226,30,0.389473684,1,MODERATE
1085,Rich Dauer,RIGHT,72,180,0.257,43,0.4,1,MODERATE
1086,Mick Kelleher,RIGHT,69,176,0.213,0,0.392045455,1,MODERATE
1087,Rowland Office,LEFT,72,170,0.259,32,0.423529412,1,MODERATE
1088,Rick Leach,LEFT,73,180,0.268,18,0.405555556,1,MODERATE
1089,Dwayne Murphy,LEFT,73,185,0.246,166,0.394594595,1,MODERATE
1090,Larry Harlow,LEFT,74,185,0.248,12,0.4,1,MODERATE
1091,Mike Epstein,LEFT,75,230,0.244,130,0.326086957,0,HEAVY
1092,Jerry Mumphrey,BOTH,74,185,0.289,70,0.4,1,MODERATE
1093,Don Sutton,RIGHT,73,185,0.144,0,0.394594595,1,MODERATE
1094,Glenn Beckert,RIGHT,73,190,0.283,22,0.384210526,1,MODERATE
1095,Ron Davis,RIGHT,72,175,0.233,10,0.411428571,1,MODERATE
1096,Mike Shannon,RIGHT,75,195,0.255,68,0.384615385,1,MODERATE
1097,Jason Thompson,LEFT,76,200,0.261,208,0.38,1,MODERATE
1098,Wayne Tolleson,BOTH,69,160,0.241,9,0.43125,1,MODERATE
1099,John Leister,RIGHT,74,200,0,0,0.37,0,HEAVY
1100,Don Cooper,RIGHT,73,185,0,0,0.394594595,1,MODERATE
1101,Mike Jorgensen,LEFT,72,195,0.243,95,0.369230769,0,HEAVY
1102,Ed Romero,RIGHT,71,160,0.247,8,0.44375,2,LEAN
1103,Rick Joseph,RIGHT,73,192,0.243,13,0.380208333,1,MODERATE
1104,Cecil Cooper,LEFT,74,165,0.298,241,0.448484848,2,LEAN
1105,Bill Almon,RIGHT,75,180,0.254,36,0.416666667,1,MODERATE
1106,Joe Ferguson,RIGHT,74,200,0.24,122,0.37,0,HEAVY
1107,Jeff Jones,RIGHT,75,210,0,0,0.357142857,0,HEAVY
1108,Jerry Terrell,RIGHT,71,165,0.253,4,0.43030303,1,MODERATE
1109,John Poloni,LEFT,77,210,0,0,0.366666667,0,HEAVY
1110,Dave Revering,LEFT,76,210,0.265,62,0.361904762,0,HEAVY
1111,Curt Ford,LEFT,70,150,0.245,7,0.466666667,2,LEAN
1112,Jerry Dybzinski,RIGHT,74,180,0.234,3,0.411111111,1,MODERATE
1113,Mike Willis,LEFT,74,205,0,0,0.36097561,0,HEAVY
1114,Bob Burda,LEFT,71,174,0.224,13,0.408045977,1,MODERATE
1115,Jesse Gonder,LEFT,70,180,0.251,26,0.388888889,1,MODERATE
1116,Gary Sutherland,RIGHT,72,185,0.243,24,0.389189189,1,MODERATE
1117,Bob Coluccio,RIGHT,71,183,0.22,26,0.387978142,1,MODERATE
1118,Dave Rader,LEFT,71,165,0.257,30,0.43030303,1,MODERATE
1119,Ron Gardenhire,RIGHT,72,175,0.232,4,0.411428571,1,MODERATE
1120,Bill Sharp,LEFT,70,178,0.255,9,0.393258427,1,MODERATE
1121,Alan Bannister,RIGHT,71,170,0.27,19,0.417647059,1,MODERATE
1122,Bob Watson,RIGHT,72,201,0.295,184,0.358208955,0,HEAVY
1123,Ken Harrelson,RIGHT,74,190,0.239,131,0.389473684,1,MODERATE
1124,Bobby Wine,RIGHT,73,187,0.215,30,0.390374332,1,MODERATE
1125,Stefan Wever,RIGHT,80,245,0,0,0.326530612,0,HEAVY
1126,John Kennedy,RIGHT,72,185,0.225,32,0.389189189,1,MODERATE
1127,Chico Ruiz,BOTH,72,169,0.24,2,0.426035503,1,MODERATE
1128,Dave Johnson,RIGHT,73,183,0,0,0.398907104,1,MODERATE
1129,Gail Hopkins,LEFT,70,198,0.266,25,0.353535354,0,HEAVY
1130,Doug Frobel,LEFT,76,196,0.201,20,0.387755102,1,MODERATE
1131,Luis Melendez,RIGHT,72,165,0.248,9,0.436363636,2,LEAN
1132,Jerry Augustine,LEFT,72,183,0,0,0.393442623,1,MODERATE
1133,Bill Plummer,RIGHT,73,190,0.188,14,0.384210526,1,MODERATE
1134,Buck Rodgers,BOTH,74,190,0.232,31,0.389473684,1,MODERATE
1135,Phil Niekro,RIGHT,73,180,0.169,7,0.405555556,1,MODERATE
1136,Jeff Holly,LEFT,77,210,0,0,0.366666667,0,HEAVY
1137,Tom Poquette,LEFT,70,175,0.268,10,0.4,1,MODERATE
1138,Eric Hetzel,RIGHT,75,175,0,0,0.428571429,1,MODERATE
1139,Brian Asselstine,LEFT,73,175,0.254,12,0.417142857,1,MODERATE
1140,Rick Miller,LEFT,72,175,0.269,28,0.411428571,1,MODERATE
1141,Ed Charles,RIGHT,70,170,0.263,86,0.411764706,1,MODERATE
1142,Luis Gomez,RIGHT,69,150,0.21,0,0.46,2,LEAN
1143,Dave Lemanczyk,RIGHT,76,235,0,0,0.323404255,0,HEAVY
1144,Al Jones,RIGHT,76,210,0,0,0.361904762,0,HEAVY
1145,Floyd Rayford,RIGHT,70,190,0.244,38,0.368421053,0,HEAVY
1146,Sam Hinds,RIGHT,78,215,0,0,0.362790698,0,HEAVY
1147,Tony Conigliaro,RIGHT,75,185,0.264,166,0.405405405,1,MODERATE
1148,Clay Christiansen,RIGHT,77,205,0,0,0.375609756,0,HEAVY
1149,Jim Barr,RIGHT,75,205,0.162,1,0.365853659,0,HEAVY
1150,Jerry Remy,LEFT,69,165,0.275,7,0.418181818,1,MODERATE
1151,Larry Rothschild,LEFT,74,180,0,0,0.411111111,1,MODERATE
1152,Frank Duffy,RIGHT,73,180,0.232,26,0.405555556,1,MODERATE
1153,Gary Lance,BOTH,75,195,0,0,0.384615385,1,MODERATE
1154,Tom O'Malley,LEFT,72,180,0.256,13,0.4,1,MODERATE
1155,Phil Garner,RIGHT,70,175,0.26,109,0.4,1,MODERATE
1156,Larry Pashnick,RIGHT,75,205,0,0,0.365853659,0,HEAVY
1157,Todd Fischer,RIGHT,70,170,0,0,0.411764706,1,MODERATE
