sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
295,Larry Hisle,RIGHT,74,193,0.273,166,0.383419689,1,MODERATE
296,Graig Nettles,LEFT,72,180,0.248,390,0.4,1,MODERATE
297,Randy Nosek,RIGHT,76,215,0,0,0.353488372,0,HEAVY
298,Dave Engle,RIGHT,75,210,0.262,31,0.357142857,0,HEAVY
299,Narciso Elvira,LEFT,70,160,0,0,0.4375,2,LEAN
300,Mike Easler,LEFT,72,190,0.293,118,0.378947368,0,HEAVY
301,Mark Smith,RIGHT,74,215,0,0,0.344186047,0,HEAVY
302,Paul Mitchell,RIGHT,73,195,0,0,0.374358974,0,HEAVY
303,Rick Sweet,BOTH,73,200,0.234,6,0.365,0,HEAVY
304,Thurman Munson,RIGHT,71,190,0.292,113,0.373684211,0,HEAVY
305,Rick Monday,LEFT,75,193,0.264,241,0.388601036,1,MODERATE
306,Mike Sadek,RIGHT,69,165,0.226,5,0.418181818,1,MODERATE
307,Mark Belanger,RIGHT,73,170,0.228,20,0.429411765,1,MODERATE
308,Ron Hunt,RIGHT,72,186,0.273,39,0.387096774,1,MODERATE
309,Joe Keough,LEFT,72,185,0.246,9,0.389189189,1,MODERATE
310,Butch Edge,RIGHT,75,203,0,0,0.369458128,0,HEAVY
311,Vic Correll,RIGHT,70,185,0.229,29,0.378378378,0,HEAVY
312,Jackie Hernandez,RIGHT,71,165,0.208,12,0.43030303,1,MODERATE
313,Tony Solaita,LEFT,72,210,0.255,50,0.342857143,0,HEAVY
314,U L Washington,BOTH,71,175,0.251,27,0.405714286,1,MODERATE
315,Gary Mielke,RIGHT,75,185,0,0,0.405405405,1,MODERATE
316,Rick Henninger,RIGHT,78,225,0,0,0.346666667,0,HEAVY
317,Joe Foy,RIGHT,72,215,0.248,58,0.334883721,0,HEAVY
318,Ed Goodson,LEFT,75,180,0.26,30,0.416666667,1,MODERATE
319,Mark Brown,BOTH,74,190,0,0,0.389473684,1,MODERATE
320,Mickey Klutts,RIGHT,71,170,0.241,14,0.417647059,1,MODERATE
321,Leroy Stanton,RIGHT,73,195,0.244,77,0.374358974,0,HEAVY
322,Rafael Vasquez,RIGHT,72,160,0,0,0.45,2,LEAN
323,Len Whitehouse,LEFT,71,175,0,0,0.405714286,1,MODERATE
324,Danny Ainge,RIGHT,76,175,0.22,2,0.434285714,1,MODERATE
325,Adolfo Phillips,RIGHT,73,175,0.247,59,0.417142857,1,MODERATE
326,Marv Breeding,RIGHT,72,175,0.25,7,0.411428571,1,MODERATE
327,Steve Adkins,RIGHT,78,210,0,0,0.371428571,0,HEAVY
328,Dick McAuliffe,LEFT,71,176,0.247,197,0.403409091,1,MODERATE
329,Joe Horlen,RIGHT,72,170,0.134,0,0.423529412,1,MODERATE
330,Glenn Burke,RIGHT,72,195,0.237,2,0.369230769,0,HEAVY
331,Tony Mack,RIGHT,70,177,0,0,0.395480226,1,MODERATE
332,Terry Humphrey,RIGHT,75,185,0.211,6,0.405405405,1,MODERATE
333,Bill Moran,RIGHT,76,210,0,0,0.361904762,0,HEAVY
334,Enzo Hernandez,RIGHT,68,155,0.224,2,0.438709677,2,LEAN
335,Cesar Gutierrez,RIGHT,69,155,0.235,0,0.44516129,2,LEAN
336,Coco Laboy,RIGHT,70,165,0.233,28,0.424242424,1,MODERATE
337,Ted Kubiak,BOTH,72,175,0.231,13,0.411428571,1,MODERATE
338,Jim Morrison,RIGHT,71,175,0.26,112,0.405714286,1,MODERATE
339,Tom Gilles,RIGHT,73,185,0,0,0.394594595,1,MODERATE
340,Bobby Knoop,RIGHT,73,170,0.236,56,0.429411765,1,MODERATE
341,Bobby Brown,BOTH,74,190,0.245,26,0.389473684,1,MODERATE
342,Tom Hutton,LEFT,71,180,0.248,22,0.394444444,1,MODERATE
343,Ron Hodges,LEFT,73,185,0.24,19,0.394594595,1,MODERATE
344,Rich Chiles,LEFT,71,170,0.254,6,0.417647059,1,MODERATE
345,Tom Paciorek,RIGHT,76,215,0.282,86,0.353488372,0,HEAVY
346,Gary Woods,RIGHT,74,185,0.243,13,0.4,1,MODERATE
347,Bob Montgomery,RIGHT,73,195,0.258,23,0.374358974,0,HEAVY
348,Jeff Burroughs,RIGHT,73,200,0.261,240,0.365,0,HEAVY
349,Rusty Staub,LEFT,74,190,0.279,292,0.389473684,1,MODERATE
350,Jim Norris,LEFT,70,175,0.264,7,0.4,1,MODERATE
351,Oscar Gamble,LEFT,71,160,0.265,200,0.44375,2,LEAN
352,Bob Kammeyer,RIGHT,76,210,0,0,0.361904762,0,HEAVY
353,George Vukovich,LEFT,72,198,0.268,27,0.363636364,0,HEAVY
354,Joe Pactwa,LEFT,71,185,0,0,0.383783784,1,MODERATE
355,Craig Reynolds,LEFT,73,175,0.256,42,0.417142857,1,MODERATE
356,Paul Blair,RIGHT,72,168,0.25,134,0.428571429,1,MODERATE
